"","text"
"1","@jsolomonReports Gotta love it"
"2","@gatewaypundit Is that when Jack Smith enters the quicksand?"
"3","@kirstythepoet Put the hammer down."
"4","@SaraCarterDC Thank God the lefty loonies won't be in charge much longer."
"5","@OliLondonTV @DineshDSouza She's a tough looking dude."
"6","@OliLondonTV Maybe it's time for her/ him to learn the words"
"7","@kylenabecker Who decides what disinfo is?"
"8","@TheStormRedux They lie because they "" think"" they are in control. It's been full exposure for the last 7+yrs."
"9","@libsoftiktok @DineshDSouza Take my child out immediatly"
"10","@bvoice_p Dumb broad"
"11","@HawleyMO @rising_serpent Ya see antifas want to get shot so they become martyrs."
"12","@SchmollSandy @GeorgePapa19 China is the superspreader and the democrats tried to steal the election. Typical leftist retard projecting."
"13","@AmbiRose86 @MajorPatriot And just came out with a new movie about rescueing a youg girl who was missing or kidnapped. Can you believe that?"
"14","@gatewaypundit Lebron James sold out his country. Never forget this."
"15","4 more years. https://t.co/uAmdnbsHae"
"16","@rising_serpent President Trump will exit in 2025."
"17","WTPI_1776 is streaming Chatting on DLive!
https://t.co/HyyvzA6sgr"
"18","@ConceptualJames @rising_serpent F U Joe."
"19","@JoanofAmerica @DilaraEsengil Can we have names? I have some ideas."
"20","@gatewaypundit Crook"
"21","@TheTruthWillDo @DilaraEsengil We must never forget the crimes the evil one have committed."
"22","@JohnPaul4Mass @D3m0A ...... and thats the truth."
"23","https://t.co/4viFGn1hwF"
"24","@MrAndyNgo This will come to America if we allow the steal."
"25","Veto the crumbs, President Trump.  tttps://youtu.be/XDhYU9f18SI"
"26","We the people must start getting fed up and pissed off. I wish i had the energy likè when i was 25 yrs old. Çant le… https://t.co/jnYBLVY6hk"
"27","@kalumkirk @ZZZJazzy Because President Trump won in a landslide 90,000,000- 100,000,000."
"28","@RodgerDodger4 No doubt"
"29","@itsLegendaryJoe MAGA"
"30","@SCArmyWife @ACTBrigitte Do some real research and find out the truth , he has lost millions."
"31","@greenhousenyt @realDonaldTrump Are you high?"
"32","@GeorgiaPatriot6 Real freaking busy."
"33","@GeorgiaPatriot6 AWESOME"
"34","@tracybeanz AMEN."
"35","Bards of war. https://t.co/0Lak2rLuVe"
"36","reasonabletv is streaming Chatting on DLive!
https://t.co/N0MAT0xLXv"
"37","@AntonioIrwin16 @GeorgePapa19 If you really believe that then you are whats wrong with this country"
