"","text"
"1","SON THAT'S DISGUSTING. WHERE'S THE LINK? #WheresHunter https://t.co/rcRAHLO3Ju"
"2","@prageru FOLLOWING TIMMY, Y'ALL SHOULD TRY IT SOMETIME."
"3","@NEWSMAX @RonDeSantis @ericbolling MAKE AMERICA FLORIDA SON!!!"
"4","@johncardillo SON YOU NEED TO KEEP MY PRESIDENT'S NAME OUT OF YOUR G-D D-MN MOUTH!!! #Trump2024toSaveAmerica #MAGA"
"5","THEY WANNA DEFUND ISRAEL SON. WE CANT LET THAT HAPPEN!!! #IsraelFirst #MAGA https://t.co/2DnuiREsmK"
"6","@TheOfficerTatum ME AND MY BLACK TRANS SON THANK YOU FOR SAYING THIS SIR!!! #BlacksForTrump #BasedBlacks #DemocratsAreTheRealRacists"
"7","@shoe0nhead JUST DONT BE ANTISEMITIC AND WE WONT HAVE A PROBLEM MAAM."
"8","@POTUS IT'S ALL DEMOCRATS DOING IT SON BUT YOU WON'T TALK ABOUT THAT."
"9","@Acyn SON WHATD HE MEAN BY THIS??? #PizzaGate #WheresHunter"
"10","@Audjuice9989 @shoe0nhead HOW ABOUT YOU STOP BEING RUDE SON. RON DESANTIS IS A SAINT HE VISITED ME WHEN I HAD THE F… https://t.co/8F0VXj5Rm6"
"11","@shoe0nhead MAAM I DON'T KNOW WHAT THE HELL YOU'RE TALKING ABOUT BUT WHETHER ITS RON, DON, OR JOHN BOLTON YOU BETTE… https://t.co/1e1yMpToaX"
"12","@Timcast WHAT ABOUT IT SON??"
"13","@ClownWorld_ MY BLACK SON IS TRANS!"
"14","@GordonGChang SO TRUE SON!!! CHINA SPENDS 800 BILLION A YEAR ON ITS MILITARY. WE NEED TO WISE UP!!!"
"15","@hodgetwins NOTHING WRONG WITH IT SON. #GaysForTrump #LGBTrump"
"16","@JoeBiden SON IF WE GAVE BABIES AN AR-15 AT BIRTH NONE OF THIS WOULD EVER HAPPEN."
"17","@MrTooDamnChris @ellagirwin SON YA NEED TO COOL IT WITH THE ANTISEMITIC REMARKS."
"18","SON WE'RE GONNA VOTE EVEN HARDER IN 2024. I VOTED 500 TIMES FOR TRUMP IN 2020. NEXT TIME I WILL VOTE 5000 TIMES.… https://t.co/FKKpLd0Ajp"
"19","@Cernovich SIRRRRRRRRRRER YES SIRRRRRRRRRR"
"20","@0x49fa98 SON I HAD THE ADL FORCE MY GYM TO PLAY THIS ON REPEAT: https://t.co/Htwhc4t7Ec"
"21","@DineshDSouza I LOVE HER!!! PATRIOTS IN CONTROL!"
"22","@NEWSMAX @GeorgePapa19 THE FBI AND THE CCP!! #BeijingBiden"
"23","@SebGorka SON I CANCELED FOX A LONG TIME AGO. OANN AND NEWSMAX ARE THE ONLY ONES TELLING THE TRUTH!!"
"24","@ReOpenChris THIS IS FAKE SON."
"25","@RonDeSantis SON I WISH THEY COULD BOTH BE PRESIDENT!!!"
"26","@Cernovich SAFE INFRASTRUCTURE IS COMMUNISM SON."
"27","@hodgetwins YES I WILL BUT IF HE BANS ME AGAIN IM GRABBIN MY PLIERS SON."
"28","@OANN LANDSLIDE SONNNNNNNN!!!! #Trump2024NowMorethanEver #Trump2024TheOnlyChoice #Trump2024"
"29","@Cernovich WHAT THE HELL?!??!??!?"
"30","@DineshDSouza I WILL NOT COMPLY!!! WHAT ARE WE TALKING ABOUT?"
"31","@JordanSchachtel SON THE FAKE VIRUS WOULDVE BEEN A LOT WORSE WITHOUT TRUMP. THATS A FACT."
"32","OH MY G-D!!! ARREST HIM!! OY VEY ITS HAPPENING ALL OVER AGAIN. #DemocratsDidThis #Holocaust #HunterBidensLaptop https://t.co/F5BXuJsTky"
"33","@WowTerrifying SON THIS IS WHAT HAPPENS TO FETUSES WHEN PREGNANT WOMEN GET THE VACCINE!! FOLLOW ME FOR NEWS!!"
"34","FAMILY VALUES SON. NOTHING WRONG WITH IT. #RaisedRight https://t.co/D631Qu1SDB"
"35","@MelonieMac I ALREADY VOLUNTEERED. I TRUST ELON WITH MY BRAIN MORE THAN I TRUST THE FAKE VACCINES!! HERMAN CAIN DIED FROM THE VAX!!"
"36","@nypost HUNTER BIDEN CAUGHT RED-HANDED!!?"
"37","@Cernovich SON WE SHOULD REPLACE ALL NATIONAL AND STATE PARKS WITH SHOPPING MALLS."
"38","@SebGorka ITS NOT TRUE SON I VOTED FOR TRUMP 500 TIMES JUST BY MYSELF. WHERE'D ALL THOSE VOTES GO?? CURIOUS.… https://t.co/bGDUv9tc4O"
"39","@johncardillo SON THIS IS A FAKE LEFTIST AI MADE VIDEO TO MAKE TRUMP LOOK 50 YEARS OLDER. DELETE IT!!"
"40","@stillgray HE'LL WIN AGAIN JUST LIKE 2020!! #Trump2024 #TrumpWon #Trump"
"41","SON WHY DID THEY CUT MY FEATURE?? https://t.co/dcCVcbHGoY"
"42","@AuronMacintyre SIR YES SIR. PLEASE KEEP POSTING THESE VIDEOS!!! THIS IS WHY I LOVE RIGHT-WING TWITTER!"
"43","SON ME AND @RichardBSpencer HAVE BEEN STRIPPING FOR OUR BOYS IN UKRAINE FROM THE START. DO SOME RESEARCH NEXT TIME. https://t.co/hSPw6Mf3hW"
"44","@responder224 SON JEWS FOUND AMERICA, ASK MITT ROMNEY."
"45","@MichaelCosent19 @stillgray @elonmusk DROP YOUR SUBSTACK SON!!!!"
"46","@stillgray @elonmusk SON WHY YA BEING RUDE TO PRESIDENT TRUMP? IT'S A JOKE. LIGHTEN UP!!!"
"47","@DaQueenSpeaks @realJoelValdez SON THAT'S A HOT LOOK!!!"
"48","@realJoelValdez SON I WANNA SHAKE YOUR HAND!!!"
"49","@francis18165137 @ACTforAmerica WHY ARE YOU SO MEAN??"
"50","@AerynSeitheach @ACTforAmerica SON TAKE THIS DOWN!!! IT'S RUDE AND NOT TRUE!!!"
