"","text"
"1","@celticguyva @its_the_Dr Your choice to have unprotected SEX was the choice!!"
"2","@its_the_Dr @NJBeisner That is something only a Demon could do!"
"3","@TomFitton @thenorthface We need to add them to the Ban list!!"
"4","@Huff4Congress @TRHLofficial Does George Soros come to mind?"
"5","@SoledadUrsua @TRHLofficial @GavinNewsom Who is voting for this complete fool !!"
"6","@Jon_D_Vapidest @AtlRey @TRHLofficial Absolutely absurd!! They have to know but with very little oversight, it will continue!!"
"7","@TRHLofficial BLM doesn’t care about or help the Black ppl that need them!!"
"8","@NEWSMAX Congress must hold the one !!"
"9","@Riley_Gaines_ The whole World is now laughing at America!! Good job Radical Leftist Democrats!!"
"10","@EWErickson @benshapiro Ban all Target stores!!"
"11","@tomselliott @LisaMarieBoothe Unbelievable!!!"
"12","@LisaMarieBoothe I just remember how much Trump did for America under a complete assault of lies and false narrativ… https://t.co/DKBkVhHVnn"
"13","@LisaMarieBoothe @Newsweek I’m so with you on not being forced to do any Mandated Vaccines!!
I lost two very good f… https://t.co/TZQylwOE3e"
"14","@LisaMarieBoothe Trump -DeSantis VP ?"
"15","@TheChiefNerd What can we do about it !! We have let the Fox in the Hen House !!"
"16","@SandraBoyett4 @ZeekArkham @TheView @JoyBehar So true ! The View wants oppression!!"
"17","@NephiKindofGuy @ZeekArkham @TheView @JoyBehar I’m going to listen to the the Doctor!"
"18","@ZeekArkham @TheView @JoyBehar WORD !!!"
"19","@Jkotrba @ByronDonalds He’s one corrupt puppet!!"
"20","@ByronDonalds When he does speak publicly, you need a Mind Reader to know what he’s trying to say!"
"21","@henryrodgersdc @mattgaetz @DailyCaller Yes !!"
"22","@TheRightMelissa Amen !"
"23","@BeerReaper22 @realstewpeters Al Sharpton made a career out of Black Racism!! Sad part is they’re black people that… https://t.co/5IA9OaGMn9"
"24","@realstewpeters What kind of man hits a woman, Period!!"
"25","@GregAbbott_TX The Cartels don’t care how many illegals they lose! They’re pure evil and are a groups of demons tha… https://t.co/dwDC4HGnyP"
"26","@4Mischief She’s got a face only a mother could love !!😂"
"27","@gatewaypundit I don’t trust Christy no further that I could pick him up a throw him !!"
"28","@ConservBrief Absolutely!!"
"29","@Scott_4Trump I can’t believe they’re Americans that believe anything that comes out of his mouth !!"
"30","@CRRJA5 @4Mischief @polishprincessh @sxdoc @GaetaSusan @JDunlap1974 @45LVNancy @Y0L0Jo @DixiDarlen @UltraDane… https://t.co/rsGudnEoFt"
"31","@NowTeenEighty4 Ban Target nationwide!!"
"32","@leslibless Sad !"
"33","@SUBRATA30016572 The man is mentally challenged!!
Radical Dems don’t care as long as he’ll vote Marxist Left !"
"34","@dom_lucre Greed"
"35","@ClownWorld_ Scum thief !!"
"36","@Billyaustin29 @gusrgutierrez @GregAbbott_TX Radical Leftists are Marxist pigs!!"
"37","@GregAbbott_TX That’s not a place I’d want to swim or wade !! Yikes !!"
"38","@Timcast Just like President Trump 2020 election , Kari should be Gov. of AZ, period!!"
"39","@Riley_Gaines_ @NCAA @espn Pathetic! PERIOD !!"
"40","@MalesInDisguise A real man , doesn’t want too grab a hand full of “balls “ by on anyone!!!"
"41","@JebraFaushay Dude, plz give your Mom back her dress!!"
"42","@OliLondonTV If your hemorrhoids are bleeding, it’s not a period, pal."
"43","@ACTBrigitte So refreshing to see the reaction from. the Fake News Media to the truth !!"
"44","@DerrickEvans_WV It’s the People’s House but now has fallen into the hands of the Globalist Radical Leftists who ob… https://t.co/zVUQDmQJT0"
"45","@leslibless Pro criminals in NYC !!"
