"","text"
"1","@OccupyDemocrats Liz is unhinged!"
"2","@Liz_Cheney We have millions of an invading force coming through the border… stop with 1/6"
"3","@GavinNewsom Like what you can drive? Or what you cook on? Come on man"
"4","My BBW big beautiful Westinghouse is #Inthehood https://t.co/0AZSsZ8LFS"
"5","@writeexpress @SpeakerMcCarthy So What? Let’s stop it ! Borrow money to send to Ukraine are we fools .."
"6","@OccupyDemocrats Yes #AOC huffed and puffed then nothing…"
"7","@TaylorJRosa You could gather support from #BLM and protest, oh wait they be broke.."
"8","Yes, with a balanced budget amendment. https://t.co/ac3aSqi9Wj"
"9","#MAGA  #Golfer"
"10","Needs to be accountable https://t.co/v3whg2Nwc2"
"11","Yes it is https://t.co/530thCtl0Z"
"12","@georgesoros perhaps some cash to medical research or something useful not destructive https://t.co/bKLAoD8s8b"
"13","@SpeakerMcCarthy Speak for us !"
"14","@kevinhaddad08 Milk toast"
"15","Segregation? https://t.co/XTmQopWlKu"
"16","@Gen_Z_4_Trump Yes in the name of equality Trans deserve their own sports"
"17","To hell in a hand basket is now to hell in rocket ship. https://t.co/8KqmRkPmwX"
"18","@stillgray My GGG enrolled in the 4th Tennessee Mounted Calvary Lafayette Chandler 16_PVT #Paidinfull"
"19","@Kathy_Arizona Yes"
"20","@OccupyDemocrats Except he already passed the bill !"
"21","@realDonaldJNews KAMALA ??? No"
"22","@MeetThePress Why so Chuck can blow smoke up my ass and tell me their clouds from heaven ?"
"23","#antifascist https://t.co/I66y8MasSc"
"24","I enjoyed watching unhinged outrage, funny. https://t.co/QlZZ7LVRr6"
"25","She lied and the jury said no rape! https://t.co/9bkvNxTYVw"
"26","@SaycheeseDGTL Dear lady we can find your original hair color and draw those eyebrows straighter it will be an adventure."
"27","@BabyGirl131519 @CSexton25 @GovBillLee @VoteGloriaJ Do pharmaceuticals give up your bullets #Peacerifle"
"28","Joe Biden spent $100 Billion dollars killing children ??? https://t.co/st7HRAabwx"
"29","@allisonball570 @MomsDemand @Everytown I own #Peacerifle"
"30","Kaitlin got Trumped! #TrumpedCNN https://t.co/bBkm52MjLJ"
"31","@OccupyDemocrats Yes blocking free speech is a tool of socialism"
"32","@CollinRugg #DefundFBI"
"33","@NEWSMAX @MittRomney the general public has no confidence in the justice department."
"34","@washingtonpost #BidenCrimeFamilly next"
"35","Now #BidenCrimeFamilly https://t.co/lcftmUUodk"
"36","@namwella1961 They have Real business stop defending the old man and crack head"
"37","@SpeakerMcCarthy Good job Speaker"
"38","@RyanShead Yep can make cuts, how will Joe get his cut??"
"39","@JohnBurrowsCA Joe Biden is under criminal investigation, calling for his resignation?"
"40","#SideshowJean https://t.co/L3GhAqqdLY"
"41","@realDonaldJNews Yes Sir"
"42","@TuckerCarlson @TuckerCarlson a voice in the wilderness! Hang tough"
"43","@elonmusk @stillgray Perhaps we could diversify the path in the US"
