"","text"
"1","@Ghettobatt I hate them with a burning passion. Absolute parasites to the human race"
"2","@Ghettobatt Typical"
"3","@AdalwolfP We must defend our race at all costs"
"4","@mojo500jomo This is actually based, first thing I agree with a black person on"
"5","@abarroown @mojo500jomo I mean he did vote for the ppl who made this happen, he is partly who to blame, he isn’t in… https://t.co/gAwBquVUZQ"
"6","@abarroown @mojo500jomo Why?"
"7","@AdalwolfP I don’t know why people can’t just stay in their countries, it’s so annoying"
"8","@B7frankH 🤣🤣🤣"
"9","@AdalwolfP Guarantee those 3 men are gonna go home and rail each other shortly after this"
"10","@mionbestgril @AdalwolfP Based"
"11","@VoiceOfA_Woman @sassabrassa4 @RonniNicole1 Or white supremacy"
"12","@VoiceOfA_Woman @sassabrassa4 @RonniNicole1 Or racism"
"13","@JeffYoungerShow Zero black😍"
"14","@AdalwolfP @DimitrijeRupnik Or until Biden and Trudeau are kicked out"
"15","@Che_Grant55 @bneiisrael77 @LaurenWitzkeDE Sl*very in North America was a very very bad thing, but not for the reas… https://t.co/AbEfhjBH2x"
"16","@Che_Grant55 @bneiisrael77 @LaurenWitzkeDE That’s why we need to learn from the mistakes that we have made letting… https://t.co/sR2ybMrh6d"
"17","@bneiisrael77 @Che_Grant55 @LaurenWitzkeDE Nuke the continent and move the whites there…. Guarantee you it’ll be ho… https://t.co/6GRcEEdJkE"
"18","@ItsMrsWilkes She deserves a GoFundMe, absolute hero"
"19","@AdalwolfP We wuz Spiderman cuhhhhh shieettttttt"
"20","@AdalwolfP https://t.co/YhQp08uJ1u"
"21","@AdalwolfP White privilege at its finest clearly!"
"22","@AdalwolfP In Germany for simply saying you support Russia you get 3 years in prison! https://t.co/Xgf5LW1FJh"
"23","@Enheduanna22 @AdalwolfP On top of that there’s obvious disgusting and satanic race mixing and woke BLM tones to th… https://t.co/Io9QVV9YKD"
