"","text"
"1","Is no one paying attention to the hearings? I'm really confused as to what people expect them to do when DemoRATS h… https://t.co/SL3DA4ycYh"
"2","Add Walmart to the list. They are pushing this shit in AR schools in Fayetteville and Bentonville. https://t.co/nPbJyOzdBn"
"3","What this really shows is how stupid a lot of New Yorkers are. I can't believe the number of people still cheering… https://t.co/QqM2OxbixR"
"4","TX is looking bluer by the day https://t.co/u2OrzRDyMt"
"5","Of course he'd lie about it. Doesn't want anyone looking into him. I didnt follow politics back when he got voted i… https://t.co/TLfL8LQdA9"
"6","https://t.co/GilDRBuiwx https://t.co/WhxbCze5Ud"
"7","@BadFradzz Yeah, I think they aquired them a while ago. They own a lot of other ones too. 
https://t.co/GQHfwuk6iv"
"8","https://t.co/76nwnkMskJ https://t.co/WgBdsdwssU"
"9","@JonSchweppe what a vile piece of shit. THIS is the evil of the left. Uses a video that's old and was from left win… https://t.co/SQS0XgGtla"
"10","They can do that. Let's see how long the brand lasts with only the LGBTQ@%$*^@ community supporting it. On a side n… https://t.co/GK9G3xnLd4"
"11","I see at least one if these everyday, I love the libs that try to say its not dangerous in the metro. https://t.co/87QZ7GswF6"
"12","https://t.co/ptDHHaEejA
@CandaceOwensPod @RealCandaceO is the absolute best!"
"13","In Austin!? Lol https://t.co/Lv4ptysGA6 https://t.co/56qlmFQqpr"
"14","Hmm...its almost as if this doesn't work. https://t.co/IFJ1U8uhwp"
"15","What a freaking joke. https://t.co/0HsacQqPAp"
"16","Its two fold caue you have Jojo the idiot circus boy AND the dick bag Leo. Lol"
"17","https://t.co/CZz2D2eQBP https://t.co/aEkF12Xh4e"
"18","Get out of blue cities and states! https://t.co/w7D7EP6lhJ"
"19","Add North Face to the list. https://t.co/mFp3flj91a"
"20","@AwakenedOutlaw I did a few transists through the canal on a carrier. Its painstakingly slow."
"21","https://t.co/OurN746lVT https://t.co/kioHKMkhYP"
"22","With bipartisan support! Lol. Isn't that how the DemoRATS do it? https://t.co/EQUB1DQJeQ"
