"","text"
"1","@CeeCeemur @CRRJA5 @4Mischief @45LVNancy @RickyDoggin @JDunlap1974 @polishprincessh @bennyjohnson @GuntherEagleman… https://t.co/bXPsV24D5W"
"2","Crying for American Citizens who are struggling to eat, buying gas to drive to work.  Watching more Americans becom… https://t.co/yVcV98a14K"
"3","@GoodAmerica1 @dpadams6 So very true"
"4","@KariLake @KariLakeWarRoom Me too.  If we don't fight we will lose our voice and our freedom"
"5","@heyitsmeCarolyn @JoePatriot7 Amen and Amen ❤️🇺🇲❤️"
"6","@NEWSMAX So very true.  President Donald J Trump was Anointed and equipped by Almighty God to lead this Nation to t… https://t.co/33NIT6Chxy"
"7","@CRRJA5 @4Mischief @45LVNancy @RickyDoggin @JDunlap1974 @polishprincessh @bennyjohnson @GuntherEagleman… https://t.co/F8z0dagEPp"
"8","@elonmusk FIND OUT WHO IS IN YOUR BLOOD LINE! YOUR ANCESTRY MATTERS!!!!!"
"9","@galacticaactual @CRRJA5 Reinstate President Donald J Trump"
"10","@JesusECast @jujubee54321 @VernonForGA @45Kris24 Exactly!!!"
"11","@ACTforAmerica @ACTBrigitte REINSTATE PRESIDENT DONALD J TRUMP"
"12","@DineshDSouza REINSTATE PRESIDENT DONALD J TRUMP Greatest President who loves America and the American!!"
"13","@TimKania @bennyjohnson Amen and Amen ❤️🇺🇲❤️"
"14","@TimKania @bennyjohnson Prayer is the answer.  We know God hears our prayers and He has answered many of our prayer… https://t.co/ZZIDo9Wv8M"
"15","@FoxNews @TGowdySC Memorial Day is a day to remember our Fallen Military men and women. Their sacrifice alone shoul… https://t.co/iP3CVMGGlJ"
"16","@dom_lucre So very true."
"17","@TomFitton @Target You forget that many illegal immigrants let into this country by Obama and Biden are slowly tryi… https://t.co/wZWkYShFOl"
"18","@TimKania @bennyjohnson I've been asking that same question for a while now.  United we stand. Divided we fall.  Ti… https://t.co/B1yBDgLhTs"
"19","https://t.co/xxgY20E2Nz"
"20","@Sassafrass_84 @luvnewinfo Until the American people arise and demand the reinstatement of President Donald Trump t… https://t.co/ezJQoQPag7"
"21","@hodgetwins @luvnewinfo Until all the people who destroyed cities and towns are hunted down and charged with destru… https://t.co/2slGPyy0zj"
"22","@TJDOGMANR2 @luvnewinfo @laurent546546 @Imcg_2 @Bagel69er @natashawatson00 @PSwal807 @NoletDiana @MustangRebel28… https://t.co/YFV0M3lSWm"
"23","@youlivethrice @Bert7058 It's about time."
"24","@SamanthaPostman Amen and Amen ❤️"
"25","@donnyosmond So happy for you.  My Daughter and I hope to meet you some day in Vegas and watch your show."
"26","@luvnewinfo @giftgab538 @Amy95474055 @Badass54317 @BaolianBlues @bdonesem @Breezy8817 @DW_Belknap @ChesserL2… https://t.co/uX4HPCG3jE"
"27","@NickAdamsinUSA @realDonaldTrump President,  chosen by our Sovereign God to do the right thing for America.  We pra… https://t.co/65n4aWPlvQ"
"28","@d_ewinger @realDonaldTrump

God doesn't call the equipped. He equips the called.  God our Abba Father chose Donald… https://t.co/IyHEEZ6Anp"
"29","@KCPayTreeIt ❤️🇺🇲❤️"
"30","@giftgab538 @realDonaldTrump @MELANIATRUMP @alerts___    Children are not taught cursive writing so they cannot kno… https://t.co/FnPYYjrXeO"
"31","@giftgab538 Amen and Amen"
"32","@GarysBlues @ThePhenomium Yes President Donald Trump has my full support.   @realDonaldTrump"
"33","@OANN There never never should have been a mandate in the first place."
"34","@tinaturner @BasedSolutions1 @peterlindbergh So sad to lose a world legend.  We will always remember her each time… https://t.co/05ACbrfQHg"
"35","@TheTrumpest45 @PatriotsAsOne ❤️"
"36","@TrumpVVon @PatriotsAsOne President Donald Trump"
"37","@linlinqyqa Amen and Amen"
"38","@marieosmond So beautiful as always.  You never age.  Loved watching you and Donny.  May God Bless you with all the… https://t.co/mKfKb8ZXfa"
"39","@GeorgeSellman5 @TParaclete No I don't."
"40","@TParaclete So very true"
"41","https://t.co/U1znjQvJRP"
"42","@NickAdamsinUSA Yes and be placed in prison for  treason against America."
"43","@realDonaldTrump @MELANIATRUMP https://t.co/DVQdcWKpx4"
"44","@shaneyyricch @KCPayTreeIt So true."
