"","text"
"1","Has nobody figured out that you serve everyone without pandering to specific groups?  Where's the car decorated for… https://t.co/FUUkNet7Vj"
"2","@BarackObama A whole lot of tax increases are going on now, in addition to the state spending all of the surplus.… https://t.co/ohQz62mIQw"
"3","@MayorHancock you need to have infrastructure to be able to ""welcome"" illegal immigrants to your city.  Money doesn… https://t.co/chdsE5A9Lg"
"4","@IronMan76667 Oh, gotcha.  Like tumeric curcurmen and black pepper.  Or D3/K2.  Makes complete sense!!  Thank you."
"5","@IronMan76667 I'm really bad at my vitamin regimen and I have no excuse.  They're all here.  Except Quercitin.  Wha… https://t.co/ZRR1MaFTCc"
"6","@IronMan76667 You're probably very good on your vitamin D.  I was low, so when we had Delta in the fall of 2021, I… https://t.co/RLwzTW8AUq"
"7","@IronMan76667 I knew that the entire time but I'm nobody."
"8","Fact. https://t.co/wdWdEXEF6I"
"9","@YankeeBishop I've already started.  What's taking you so long to get here?😊😉😎😁"
"10","@Kathy_Arizona Something like this.  It's awesome. You can fill it with water or not, but they can't get out.  The… https://t.co/6FI0Y6AGGu"
"11","@GavinNewsom I noticed you didn't include white.  Does anyone know why?  Because he's already on the attack white p… https://t.co/Ak2yxUrVI9"
"12","@GavinNewsom Why don't you just say it?  You support satanic products. And don't try to look like you support women… https://t.co/kcIfRMC31t"
"13","The Democrat party has always shown us exactly who they are. 

They tell you what you can read &amp; ban everything els… https://t.co/YjiZswh7Ra"
"14","@robreiner https://t.co/rJZBn4ajM0"
"15","While virtue signaling like this makes people feel all warm &amp; fuzzy, I would like to remind you all that God gave u… https://t.co/PXSrh2NteR"
"16","@Scott_Wiener Please. Democrats are at the tip of the spear in violence and y'all know it. https://t.co/lWJ466Sem4"
"17","@harryjsisson There's no way that you're anything but a paid mouthpiece.  I'm sure more of you will pop up. 🤡 https://t.co/FBLgiqRjuM"
"18","@Hunter_College fires Shellyne Rodriguez for threatening @nypost reporter with machete. 
https://t.co/QbXLmcQO3Z"
"19","#BoycottTarget https://t.co/7wlcyve5OY"
"20","@DK_Able You and about 100 million other men. Thank God."
"21","@Target after confirming this, I've officially spent my last dollar with you.  As a liberty and truth lover who doe… https://t.co/BLQ0qNy4VP"
"22","@RoryOCleary Yes.  And I tell them good morning, if/when I'm leaving, when I'll get back, tell the dog to ""keep an… https://t.co/QP5VHkUKJ9"
"23","@its_the_Dr I've never liked her.... interesting that it's usually the ones I've never liked.  Lol."
"24","@randomromania @ThePhillipHolz It's fake 🤥🤥🤥"
"25","@helenckh @Dodgers don't back down.  Would the adult in the room please stand up for what's right??!!  This is ridi… https://t.co/hjXNJc3S3m"
"26","@oldguy_steve Sounds to me like this is a fake AI generated clip.  Fake video, fake headline."
"27","@Target move it completely out of the store. https://t.co/YglhYKLzSR"
"28","@BryanCranston can you provide your whereabouts over the past two weeks?  When was the last time you saw Jesse Pink… https://t.co/eUHCQWmD80"
"29","So a 20 year old just gets on a plane and rents a U-Haul?  There's more to this story, obviously, including others… https://t.co/x0LRIGwWPk"
"30","@rockchalkfan57 @iallegedly No doubt!"
"31","@iallegedly Dan, topic to discuss. What are you going to do if there's a major communication failure?
https://t.co/ti1hQYBybj"
"32","@GavinNewsom, where is your train service? 🤔🤔🤔
https://t.co/cCghPPkqYC"
"33","I should clarify.  I have no issues with Florida.  Lol"
"34","Hmmm.  It sounds to me like no one is given special treatment.  Everyone is on equal footing. If I was traveling as… https://t.co/lsQARft7le"
"35","@Travis_in_Flint At the time of illegal immigration, he would have been 10 years old.  These are the Dreamers that… https://t.co/bSXhojVQoV"
"36","@Badged_Patriot @Teri43092 I knew you were referring to that.  It's despicable how the media and politicians are ma… https://t.co/UpO7p1LRDd"
"37","@Badged_Patriot She's glossing over the primary and treating it as though there'll be three main parties on the bal… https://t.co/52zV78ePDQ"
"38","@Target people can wear what they want and shop where they want. I'll vote with my $$ and not shop where my kids ca… https://t.co/zLXqhB25DK"
"39","@fromage_enjoyer @covingtonjann @AlottaMilez @JoeyMannarinoUS That may be true for the little children, but again,… https://t.co/2D9LISUc3Q"
"40","@Travis_in_Flint When self defense is illegal in blue cities, the criminals will exponentially flourish.  That is the demonic leftist plan."
"41","@AlottaMilez @ShadyKillThief @mowgli2071 @JoeyMannarinoUS Transgendering children is dangerous and comes with many… https://t.co/HLNh53UJrO"
"42","@ShadyKillThief @mowgli2071 @AlottaMilez @JoeyMannarinoUS Pursuit of happiness is one thing, but mutilating childre… https://t.co/5rUWp1K8RN"
"43","Hey @JohnKerry go ahead.  We'll pull a Denmark and set you back 100 years. 
#FarmersProtest
https://t.co/lZ7YEEonmr https://t.co/CO7UlCJ8xA"
"44","@rvbread @AlottaMilez @JoeyMannarinoUS This is a much bigger response than Twitter characters. I'm sure my first re… https://t.co/592p6x3Stw"
"45","@GavinNewsom There are always two sides, Gavin.  The reason you are conflicted is because of your two faces.  Watch… https://t.co/kcka10vkE2"
"46","@AlmostAmish1 What kind of dog?  I didn't see that stated in other replies.  Good guidance from your respondents.… https://t.co/l4KWOL2CD5"
"47","@AlottaMilez @JoeyMannarinoUS No other questions.  I read you loud and clear.  👍. I wish your nephew the best."
"48","@AlottaMilez @JoeyMannarinoUS I have kids.  This is only about the kids.    I'm guessing you may not have kids.  It… https://t.co/r2WkuxgYdj"
"49","@Richard35775465 I don't know.  But perhaps Bud Light sales will increase. 🤦‍♀️🤡"
"50","@sodagrrl @DanDLio50048934 @JoeyMannarinoUS Agreed.  Unfortunately many are going to have to experience this to lea… https://t.co/MVrFceTmpS"
"51","@AlottaMilez @JoeyMannarinoUS Because it affects everyone, one way or another.  And no, they aren't telling them al… https://t.co/J2G5RKFUGB"
"52","@GavinNewsom @elonmusk where is that dislike button?? 👎"
"53","@AmericanwomanU1 @Brookltnwilliw https://t.co/HTmvjGAgPv"
"54","Just a reminder https://t.co/nEhos5OG3c"
"55","@rn_gillespie @Tex_2A Not always.  Not cheap in LA, SFO or Seattle. 🤔"
"56","@Tex_2A They don't love crime, but they can keep the citizenry bogged down with crime and chaos.  And just when you… https://t.co/lKienHz72H"
"57","@Kathy_Arizona Is there any other way?  Unless you're talking about surgery?  And once.  When you're doing dishes a… https://t.co/shep0XRLFB"
"58","@Badged_Patriot Well ma'am, we appreciate you calling.  Unless he commits a crime, he's following the law.  Here's… https://t.co/J7eltJpVOl"
"59","@ryanmartial 😭You're never ready to lose a parent.  I had probably 4 years to prepare for losing my dad; I still wa… https://t.co/AoIw0zrO0P"
"60","@ADL, @georgesoros may be a Jew, but he turned in Jews to the Germans during the Holocaust.  @elonmusk response isn… https://t.co/yL9cOPFZoT"
"61","@criticaleye170 @SheriCarter18 You did!! 😉.  I get it!  I'm awful with names."
"62","@PicturesFoIder A quadricutteral. 👍"
"63","@Diegoranchinc This could help in conjunction with the continuity of care he's needing. 
https://t.co/AGdQgxRM5P."
"64","@Josh__Seattle @BillKristol Exactly.  And especially where his friends live. 🙄"
"65","@2A_Patriot_ #truegrit https://t.co/cRNKkkuXlX"
"66","@SheriCarter18 My first crush.  Lol. https://t.co/7xsAhhXIgE"
"67","@criticaleye170 @SheriCarter18 Wasn't it Leif Garrett?"
"68","@FancyFeast4Lyf 🤨😳 https://t.co/ppEghl2z9G"
"69","@UltraDane @realtpv The best way to turn white people off?  Tell them they're white supremacists.  That'll do it for me."
"70","Well congratulations #Jacksonville.  You let 1/3 of your registered voters decide your mayoral election 🙄🤡

Florida… https://t.co/VfXKZSHqz5"
"71","@td92518 Lol.  I'll admit when I'm wrong.  I'm not a guy.  
But I'm never wrong.  
🤣🤣🤣🤣"
"72","Truth 💣 https://t.co/BSbev7MIHf"
"73","@inmyownfashion2 https://t.co/0MQBaN2mCH"
"74","@WOKEGOLDENBOY @keithboykin https://t.co/IQ5LgUPFbx"
"75","@keithboykin Sex attack.  Again.  By the Democrats.  Big surprise. https://t.co/9QvQ788DjV"
"76","@TerryLewisJr2 🤣🤣🤣
Right after you steal this, edit it to say Washington, please...and then send it back to me. 😉 https://t.co/AgHFcYiLn3"
"77","@atwitty2 Nothing.  Lol.  He is more articulate than some of his constituents. 😳 https://t.co/pNv9Ee42Ic"
"78","The truth always comes out.  Evil is always justly repaid.  The people behind this are not excluded.… https://t.co/azLPT1XVEM"
"79","I hate to be the bearer of bad news, but none - absolutely none - the of the people that support &amp; respect the 2nd… https://t.co/NwxgSN6JlZ"
"80","@jeffferg843 I'm not sure that the Dem voters even know about any FBI or administrative corruption at all."
"81","@Badged_Patriot So glad you had a nice time!  Welcome home - selfishly we're happy you're tweeting.  We missed you. 😉"
"82","@Badged_Patriot You're always spot on.  How was your vacation?  And don't forget: https://t.co/yHHR8rkDUL"
"83","@bobette20898402 I'd make the lump sum work for me now and forgo the $5k over the next 15 years given inflation.  B… https://t.co/1dZUD8Qwlt"
"84","@ericareport Definitely time for you to be sued by President Donald Trump. @DonaldJTrumpJr @IvankaTrump"
"85","@hardcore_lib @KariLake @realDonaldTrump @kaitlancollins https://t.co/XMZWqHuF5J"
"86","@Doembon @KariLake @realDonaldTrump @kaitlancollins @CNN But their ratings were epic!! 🤣🤣🤣. They should have him on more often."
"87","@hardcore_lib @KariLake @realDonaldTrump @kaitlancollins Now that we know your flag and pronouns, it would be kind… https://t.co/TjZDAxS1Wa"
"88","@Dwarren777 I wonder if the rest of the world notices how the Left is reduced to personal insults when they've lost… https://t.co/NnDFa8bRhX"
"89","@M_E_Adams @JDCocchiarella Don't hold it against him.  Lol.  He's just trying to be like Martin and Emilio. 😂 https://t.co/gcNF3d7znM"
"90","@GrahamAllen_1 @JDCocchiarella I was going to watch it, but I have to watch it later tonight."
"91","@SinNomb54107159 @JOHNBOEHME3 @JDCocchiarella 🤣😂😄"
"92","Can't comment on the article, but we all know what it is.  2 consecutive years in a row for a decline in life expec… https://t.co/DYELlPoJjh"
"93","@MagaTacoMan @JackieC49305942 I still don't buy it.  They precluded him from being able to talk about the case, it… https://t.co/Y01Gnf0IDT"
"94","@MagaTacoMan @JackieC49305942 It still wasn't a criminal conviction. Not a convicted sex offender.  
Why is it that… https://t.co/gEeXY076IC"
"95","@MagaTacoMan @JackieC49305942 Excuse me, need a little clarification here.  Was there a rape conviction that I missed?"
"96","@ejeancarroll No you didn't.  It's called an appeal."
"97","💯 this 👇 https://t.co/bJPum9WF7A"
"98","@teleman777 https://t.co/Q5GMAzglpD"
"99","@Badged_Patriot We did notice you were quiet.  Enjoy your well-deserved vacation!!!  I hope you're having a wonderful time. ⛱️🏖️🩴🧉🍹"
"100","@ScottBaio @TwitterSafety @elonmusk Reported for abusive behavior"
"101","Good morning everyone, except the Democrat party that doesn't value life."
"102","@PattyMurray I guess I shouldn't be surprised, but you, as a mother, promoting infanticide is deplorable.  You thin… https://t.co/0lXVMwhjpv"
"103","@popstarr65 @Angelpenguin441 Looking forward to seeing that."
"104","@DogecoinDawnRN I'm pretty sure that's fake news.  🤣"
"105","@ussjimmycarter @Travis_in_Flint Agree!  It looks like the left eye was shit, but the glasses look like the right e… https://t.co/aw2zqkxZMv"
"106","@ScottBaio Me too!!  👍😎"
"107","@lorifoust1969 @ScottBaio Oh, no.  I wasn't inferring that at all.  You and I view his family the same.  I was just… https://t.co/6wuqETnXj2"
"108","@lorifoust1969 @ScottBaio Who's trolling who? I thought I knew, but then again, no.  Lol https://t.co/UhMepJtarX"
"109","@DonBeck69 @GovInslee No hate, just a question.  Especially since the pandemic is ""officially"" over."
"110","@N76247476Man https://t.co/NnZcmbyqyE"
"111","@hshLauraJ By the fence, yes??  🤣"
"112","@gilson_kristi Yes, but understandable.  The princess has grace and a lady in waiting to help her dress and do her… https://t.co/Y4zHZIpGcp"
"113","@niceblackdude Looking forward to the next nominee and their lack of qualifications.  🤮"
"114","@hobzzz 2,3,a"
"115","@helenckh If this is coffee, #1 please"
"116","@GovInslee Why is she wearing a face diaper?"
"117","@Badged_Patriot These haters need to go back and see how much all of the Democrats loved him before he ran as a Rep… https://t.co/n6RipBoQGS"
