"","text"
"1","@DC_Draino Because he plans to CHEAT using his beloved Dominion FRAUD machines."
"2","@Tayloh25 @bennyjohnson WE CARE, moron"
"3","STOP SHOPPING AT TARGET! They bought in to this VILE CRAP, &amp; NOW THEY MUST GO DOWN. Removing the #LGBTQ insignias I… https://t.co/4FsbiGjjQi"
"4","@realDonaldJNews YES!"
"5","Major INTEL drops with #JuanOSavin &amp; #JamesGrundvig. Tribunals, Tribunals, Tribunals.
https://t.co/H40jeIM1q8"
"6","@VernonForGA NO!

And I won't!"
"7","Child Sex Traff!cking Is The Real #Pndemic 

I know it’s tough to acknowledge the horrible evil that is among us bu… https://t.co/OSGGs0BOdx"
"8","@doqholliday Woooooo Hoooooo!

#WWG1WGWW

""Where We Go One We Go WorldWide!"""
"9","@MattWallace888 Awesome work!"
"10","@realDonaldJNews YES!"
"11","@MattWallace888 Zuckerberg is going to prison (if he's not already there). Totally NOT credible."
"12","@BeetaBaran @MattWallace888 Money laundering, that's why."
"13","SURPRISE! Former Aide to AOC Now Running the Communist Party of New York | The Gateway Pundit | by Mike LaChance https://t.co/3N0Uqt2r1B"
"14","@kylenabecker I'm not surprised. Just look at him! He HATES everything, probably himself, especially."
"15","@ElonMusk....fyi, you picked a WEF Globalist, vaccine depopulation supporter to head up Twitter....same as what you… https://t.co/tUzPPm8ur8"
"16","AWFUL. Following CNN-Trump Debate Team DeSantis Announces Support for Political Prosecutions by FBI-DOJ, #Lawfare A… https://t.co/9OZvCeiftV"
"17","@gc22gc HOLD THE LINE! #NoFear whatsoever!"
"18","@gc22gc And we have #DeSantis this morning threatening to arrest &amp; prosecute his opposition, as per Gateway Pundit."
"19","@gc22gc Absolutely Appalling. 🤬🤬"
"20","Here's the cause of #Surfside.

https://t.co/57KD05QHfy"
"21","The #Constitution DOES NOT MENTION any government AGENCY and, in fact, every existing government agency has betraye… https://t.co/zn47jiHFsV"
"22","#DIVERSITY is one word I truly DETEST. Diversity signifies FORCIBLE #interference and #manipulation.  It is the opp… https://t.co/iiylb7aWBj"
"23","This is WHY #LGBTQIA+ must be 100% #BANNED:

The goal is to #convert your #KIDS to this SICK, #SATANIC lifestyle. W… https://t.co/WimYp9TWli"
"24","Why are the #CNN #FakeNews ""journalists"" always LITTLE and grossly overweight? They obviously have no confidence in… https://t.co/0AHc5lghe9"
"25","https://t.co/DGZJuiLrLB"
"26","NO BRAIN = NO BRAIN FREEZE. https://t.co/Ysq46KCKJh"
"27","#TRUTH! https://t.co/fltWO5VliB"
"28","#Communists are the WORST people in the world!! I'm really not sure they're human though.

#OneAmericaNews:
""… https://t.co/m1QiKreC2k"
"29","#X22Report:

""#Congress and #BigTech KNOWINGLY #Colluded and VIOLATED the RIGHTS of the PEOPLE; #War.""
https://t.co/qJmNQx9BUS"
"30","#StewPeters is a GREAT advocate for us #Patriots!

""What Is GRAPHENE OXIDE?
Main Ingredient in #Pfizer,… https://t.co/h75qqA7A2T"
"31","#MikeAdams, ""Situation Update,""
HEALTH RANGER REPORT:

This is what's coming if we don't stop it asap!
""GOV'T… https://t.co/xteHZg0q1k"
