"","text"
"1","@SpeakerMcCarthy @HouseGOP It's about time. Now we need some arrest, out of the doj/fbi and the Biden regime."
"2","@ConservBrief Yes"
"3","@silentn63052838 Stand strong!"
"4","@k7711_bones True!"
"5","@__TEAM_USA He'll yea, no more Fox for me."
"6","@ProudElephantUS Traitor"
"7","@proud_native__ Why should I say if she's pretty? All peoples are beautiful in God's eyes."
"8","@__TEAM_USA They went woke, so they are gonna go broke! Tucker was the only reason I watched."
"9","@ProudElephantUS Yes"
"10","@Ihave2Standards @KennethFCrowe1 Don't forget Chinese spy!"
"11","@Jamierodr14 @AMH87430951 I am FUC#$% tired of it to!"
"12","@DawnGma10 You're right. What are the damb parents doing? They should have whipped that ass along time ago."
"13","@rkmcshane Yes."
"14","@FLALoudMouth No honey, you did that to yourself."
"15","@Bh0045 True!"
"16","@DixieReLoadz @TonyIannitelli @wscooke7463 @JohnMil42987527 @28stormy @michaelpixley4 @Stoneyman1 @Bur1234Burton… https://t.co/M3t83yitEd"
"17","@chuckwoolery Yes, please."
"18","@Vegas1000 You say it bro your so right."
"19","@Southern0007 Wow, so true!"
"20","@ajsteelshow @Dermott5Mc I agree with you!"
"21","@rocketsales44 @AMH87430951 Agree totally  but now we know that the FBI/DOJ are pushing this nasty stuff!"
"22","@SteveMartinToGo Dint see a blue check sorry."
"23","@ProudElephantUS Another Dumbass Liberal pushing thier policies."
"24","@FLALoudMouth Yes"
"25","@Bh0045 Yes!"
"26","@ACTBrigitte Yes"
"27","@chuckwoolery Yes"
"28","@ProudElephantUS The Biden White House is in bed with China. That's how they are getting buy with all the spying etc!"
"29","@tangandtonic True!"
"30","@RepMTG You go girl."
"31","@IanJaeger29 Me!"
"32","@ProudElephantUS Buttgag is a dumb@$$."
"33","@Bh0045 Yes!"
"34","@KennethFCrowe1 Let's go, I'm ready!"
"35","@ACTBrigitte Yes"
"36","@AnnaApp91838450 Yes"
"37","@kansasauthor Agree!"
"38","@Simi28_ Yes, please"
"39","@chuckwoolery Nope."
"40","@FLMagaBarbie They don't even matter to me because the first one who gets in my face will regret it! I am a MAN  and I love it."
