"","text"
"1","All opposed by groups such as this btw. So many people are unhappy with how things are in the state, yet fight toot… https://t.co/U2Pcl9JmBA"
"2","#lalege has a half billion dollar construction budget, passed several school choice bills, is trying to pay down de… https://t.co/cgZOSrD5wb"
"3","With the evaporation of Covid cash and the pending sunset of the 0.45% sales tax, the legislature needs to think ye… https://t.co/ESrO46TjyN"
"4","https://t.co/ynsBRAA0ep"
"5","@votelandry @Barry_Ivey @FixNOLA What about the victims who’ll now be able to track the court proceedings of the cr… https://t.co/fNYoOLhpcF"
"6","@ACTBrigitte Or VP?"
"7","@financierofquan @stephenwags @wagsforla Aren’t we 50 out of 50 on a lot of lists because of the devastating policy… https://t.co/DgDnWLvf3l"
"8","When will the house committees get seats to match the senate committees? #lalege"
"9","Our state is being destroyed from the inside like a cancer. Where is the leadership? Where is the accountability? W… https://t.co/o5IPj3h4HA"
"10","Prayers for his family 🙏 https://t.co/x2dkJztf1d"
"11","@Aprilmhedges @JayJaymorris3 @Lori4Louisiana They can’t. The language says that a patron can request reconsideratio… https://t.co/cXubM8chEo"
"12","@Lori4Louisiana @JayJaymorris3 @Aprilmhedges Read the bill. Should answer all your questions. The bill defines law… https://t.co/qbJTCV2bnx"
"13","@Aprilmhedges @JayJaymorris3 @Lori4Louisiana He doesn’t have to think about how “sexually explicit” will be decided… https://t.co/aFZRlnrdg3"
"14","Lots of requests for congress to act lately. Has he forgotten the 2 years democrats controlled congress? https://t.co/sLT2Qg3Ckp"
"15","@FixNOLA Outraged that a PILOT program is starting with 3 of the top 10 most dangerous cities in the country. And z… https://t.co/otbc4ozboi"
"16","Are the bridges to the Louisiana we want also going to be largely neglected, overly reliant on federal dollars, and… https://t.co/QoedXFRCfv"
"17","@JPMorrell @ATT @NOPDNews Should the owner of the ladder be held responsible for the crime since they didn’t adequately lock it up?"
"18","But let’s punish the law abiding gun owners 🙄 https://t.co/y3hNzJz6Mb https://t.co/DYrxDOGx3W"
"19","Alternate headline: Prison and crime numbers drop because big city DAs are allowing criminals to walk free… https://t.co/WSkqW63zed"
"20","What is the definition of insanity again? https://t.co/XbP9GJ2LH6"
"21","Why not invite the other two teams from the final four? Actually, why stop there? Invite the whole tournament. Emba… https://t.co/YbZf1GBKyH"
"22","@samkarlin Incoming @jacksonvoss thread 🍿"
"23","@WBRZ Does the $4.5 million have to be in cash? Iykyk"
"24","I wonder how these “business folks” feel about going back to Jindal era Louisiana https://t.co/Hm4qm45QsX"
"25","Im curious if the new candidate for Governor, Anyone But, will run as a Democrat or a Republican 🤔"
"26","The chief law enforcement officer of the state reported you to the FBI for breaking laws? What a horrible person! https://t.co/BpYKG8iCLu"
"27","Funny to see the same group of people that were unable to control their glee at perceived @LAGOP infighting and  di… https://t.co/03jQYjO5Pt"
"28","@LaPoliticsNow https://t.co/Nc6axcWpxv"
"29","He clearly seems to have very little interest in leaving the GOP majority US House of Representatives. Why leave ri… https://t.co/xko8nA6vRI"
"30","Gonna put the line for total candidates at o/u 9.5 https://t.co/GuJLTZh13R"
"31","End the Consent Decree and recall @mayorcantrell https://t.co/QZ3Zo7hy9m"
"32","Even if you don’t know why, take a second to send prayers for Damar Hamlin. Please God, let him be ok 🙏"
"33","Merry Christmas!"
"34","@samkarlin Isn’t it a temporary appointment anyway?"
"35","@TBob53 Absolutely. Though definitely not a feel good film"
"36","Not surprising the man who was bought by trial attorneys supports a man bought by the same people he is meant to re… https://t.co/u5Tp02H287"
"37","@clarencehilljr @SpectrumSN As long as it isn’t a question about China, amiright"
"38","The more pressure put on this decision, the longer Sen Kennedy will delay in order to bask in the attention https://t.co/08yYEgVKxu"
"39","https://t.co/Aor06FkGYl https://t.co/8N7Le2y08u"
"40","@LamarWhiteJr Using campaign finances on campaign paraphernalia 😱😱😱😱"
"41","@_B___S https://t.co/2s5FmkBSRQ"
"42","@WAFB Is anyone else surprised considering this is the same man who aided a cover up to boost his re-election?"
"43","@mayorcantrell @LouisianaGov @AliMayorkas @nolaready @CityOfNOLA @fema “$18k for a plane ticket?!” https://t.co/VtIkztPEpe"
"44","@mayorcantrell But we have known for awhile that @mayorcantrell has always been selective in what laws her and her… https://t.co/fkHOqu3BBR"
"45","@mayorcantrell I wonder how many state assets and infrastructure projects could have been completed had you not was… https://t.co/SsI8CWaNnC"
"46","@CEStephens @vuhnilluh I am not that was in response to why every other state has not done this. Because currently… https://t.co/QWqctBS5pf"
"47","@vuhnilluh @CEStephens There are many reasons listed as to why, including more time for full FDA approval for those… https://t.co/vOlJVAD8rN"
"48","@vuhnilluh @CEStephens And they have decided to postpone that mandate for over a year. Also, that is your opinion o… https://t.co/CxIfPmIiFz"
"49","@vuhnilluh @CEStephens This is from the PEW institute. California recently decided to wait a year for more informat… https://t.co/S3ptUHETAs"
"50","@CEStephens Your mentions are in shambles because you conflated banning the Covid-vax with stopping it from being o… https://t.co/7JMU7TcrH4"
"51","@RTMannJr @RepGarretGraves I mean he posted this all over his social media. I don’t think he was trying to hide it.… https://t.co/eQdREtoKv6"
"52","@SteveWAFB @TheAbitaBeer https://t.co/8rmLeaTBR3"
"53","@JacksonVoss Unfortunately was unable to watch the hearing. Was there strong small business testimony against? Is t… https://t.co/yQiqqcrZUu"
"54","@TannerDMagee Do you have a guestimate of the cost to restore this historic building?"
"55","@elsbet @samkarlin I agree completely. But that has nothing to do with claiming someone in the CSU enjoys watching… https://t.co/dRTo3W3uVI"
"56","@elsbet @samkarlin If I say someone in this room is a murderer (without evidence a murder even happened) have a sin… https://t.co/8tN0I4ISxa"
"57","@elsbet @samkarlin Twitter troll insinuating that they enjoy it"
"58","@elsbet @samkarlin Because it had nothing to do with CSU investigators and earlier today you claimed one of them en… https://t.co/BU0TanksNA"
"59","@elsbet @samkarlin Looks like it wasn’t a valid one. Looks like it was wrong. 

https://t.co/OxTsWvAqcZ"
"60","@elsbet @samkarlin When you claim someone enjoys it with zero evidence/specifics then you make an incredibly genera… https://t.co/npP9IiOhMq"
"61","@elsbet @samkarlin You did say exactly that…. https://t.co/iSqgWGCNbN"
"62","@elsbet @samkarlin Do you actually believe the men and women with families that put away these horrible perverts en… https://t.co/fgockbEYQm"
"63","@MattCHouston @samkarlin I’m hoping “floating” was a deliberate word choice here"
"64","@ag_landry @AGJeffLandry @JeffLandry Because it backs conservative issues that align with their special interest gr… https://t.co/wr7YqDnaVN"
"65","@NelsonforLA https://t.co/EzxkTwNfA6"
"66","@ag_landry @AGJeffLandry @JeffLandry Why wouldn’t they send money to a group backing the person who has backed them… https://t.co/npmpwuwQWe"
"67","@stewartcatheyjr How many guesses do I get?"
"68","@RepGarretGraves @ElizabethWAFB Thanks for all your work for the great state of #Louisiana"
"69","@AP Still a long way to go"
"70","@aegallo @JeffLandry So $420,000 over 15 years is $28,000 a year. Does that even cover cost of performing the tasks… https://t.co/RYngZ1cSxE"
