"","text"
"1","@ClecoPower Y’all are a joke! You charge people hundreds of dollars for electricity — the monopoly has to stop!"
"2","@ClecoPower Still waiting on your call back! Your customer service is terrible. Will be heading to pay y’all in per… https://t.co/tkC2HwwoDD"
"3","@ClecoPower It has been almost 24 hours and I still have not received a call back or any information pertaining my… https://t.co/ubO0708qAI"
"4","@ClecoPower Thanks!"
"5","@ClecoPower PS take some accountability for your bad customer service!"
"6","@ClecoPower @clecopower — Love the corporate generic answer — I can’t access my account via the website nor phone!… https://t.co/psx9BP3eER"
"7","@ClecoPower your website and telephone system is terrible — have been trying to pay y’all with no luck— no customer… https://t.co/3lM06esHax"
"8","Hey @Hertz, my husband has been standing in line at Oklahoma City airport for over two hours. Gold members are gett… https://t.co/0fvwIX5wtv"
"9","#GetVaccinatedNow
https://t.co/UMpMOlJzwW"
"10","Happy Hanukkah! https://t.co/mcCyvHCvjB"
"11","#abbottproud https://t.co/DxKIEJ3qyK"
"12","2020 has not ended...is this a good idea?! https://t.co/iPP1BEiusH"
"13","https://t.co/KAx4HzzFhY"
"14","This why people should wear masks!!! https://t.co/qURnCTRpd8"
"15","Netflix ‘Pandemic’ Star Just Showed His Covid-19 Antibody Drug Works In Hamsters. How Quickly Could I... via @forbes https://t.co/X99p1hrKG4"
"16","Interesting..... https://t.co/uD232S75s6"
"17","#proudtobeabbott https://t.co/uRuuGslrfE"
"18","""Chewbacca actor Peter Mayhew dies aged 74""  https://t.co/Y8wDzRhUs5"
"19","https://t.co/Cf3FBlqa07"
"20","Seriously?! https://t.co/8eozG5vxig"
"21","Interesting.... https://t.co/9An4Jekc1P"
"22","VAD craziness...maybe its the full moon..."
"23","Time to move on! Time for a new place, feeling and energy! Excited to move on!!! :-)"
"24","Having issues getting out of my bed cocoon...it's all the warm blanket hugs..."
"25","Wkend to chill. Beach, Jack Daniels and friends! Woot Woot!"
"26","Trying to heal disappointment...."
"27","I am as bored as a monkey in a bonsai tree!"
"28","I have become a surgical junkie! Feeling weird not having a case today!"
"29","Can't wait for my next VAD case! Gotta love cardiac surgery!"
"30","Back in the VAD grind again....Sunday afternoon at JMH"
"31","Out of hibernation..."
"32","I wanna hibernate until next year....don't wanna deal with anything anymore...i am done!"
"33","Why do I always get the weird ass religious based medical cases....seriously??"
"34","Honey badger don't give a fuck!"
