"","text"
"1","Where can I find @kylieminogue vines in the US?"
"2","How was this not a huge hit?! @katyperry #katyperry #chainedtotherhythm 

https://t.co/EsgAdrS9B2"
"3","Blue Hawaii, Piccadilly whore. A cocktail is what I'm longing for. #hooverphonic #clubmontepulciano"
"4","Matchy matchy https://t.co/rFyzCHu87j"
"5","I love my country and I want to feel safe living here!"
"6","@drmdx @kylieminogue I'll give it a try. Thanks!!!"
"7","@officialcharts @kylieminogue @BBCR1 I'll be happy as long as it charts higher than that vile Into the Blue"
"8","@drmdx @kylieminogue I’d change Head with 2 Hearts tho lol"
"9","@JuliaHB1 he's a huge balloon that will hopefully burst soon. #overrated"
"10","@BootedGay71 @sdedition Finally someone who thinks the same way!"
"11","@bbceastenders It's probably because he acts like a knob all the time"
"12","@bbceastenders No! Please get rid of Ravi &amp; Nish! And possibly Nugget he'll just turn out like his evil dad"
"13","@KennyMac94 It's probably because the age of digital albums and streaming and the backlash she's got because of the evil media"
"14","@KennyMac94 It's like a Britney Spears ASMR! I'm glad you liked it. 😊"
"15","@Rudewolffe @kylieminogue Ahhh"
"16","@KennyMac94 They look beautiful!!! 😍"
"17","@Rudewolffe @kylieminogue Doesn't make sense to me but if that's the way it is..."
"18","Why can't the US fans buy and download Padam Padam Extended Mix? @kylieminogue"
"19","Can we talk about how refreshed and beautiful @kylieminogue looks in this picture? Like she’s back in her roots. ❤️ https://t.co/W0xOR66nbm"
"20","Lola is dying and Ben is still being a grade A douchebag. What the fudge?! #Eastenders"
"21","@KennyMac94 The Femme Fatale Tour then 😍"
"22","@KennyMac94 How about The Circus Starring Britney Spears?"
"23","@KrisPlaysKylie I can’t stand her auto tuned vocals on the original song! I wish she delivered her genuine vocals with no touch."
"24","@KennyMac94 Well she goes through her entire discography and tours. 😂"
"25","@KennyMac94 She basically talks about her entire discography and I’ve learned a lot about her. Well spent 2 hours for me. 😎"
"26","@KennyMac94 I just LOVE her! I wish Kylie and Britney had a collaboration in the early 00s. 🥹"
"27","@KennyMac94 Have you ever watched this? It's like a therapy to me lately! 

https://t.co/oQeyoR7oss"
