"","text"
"1","@babe_elder @RiverVic1974 @JoeyMannarinoUS Yah."
"2","@babe_elder @RiverVic1974 @JoeyMannarinoUS Oh yes they do."
"3","@jtcope4 @DeAngelisCorey @RoyCooperNC @NC_Governor @JohnLockeNC @AFPNC @triciacotham @SenatorBerger No because not… https://t.co/WSt5FlHxFw"
"4","@RyanAFournier Now let’s sink Enron. Lmao 🤣"
"5","@JoeyMannarinoUS I’m voting for Biden. You can go on your merry way."
"6","@ForwardCarolina Those are facts."
"7","@benshapiro Good deflection Ben. Go back to talking smack to college students."
"8","@benshapiro We get it you love Ron. Ben loves a fascist theocracy."
"9","@RonnyJacksonTX We want clean water. Regulation is important or we’re just poisoning ourselves. Well conservatives… https://t.co/MGic7HgBDA"
"10","@tedcruz Christian nationalism is a serious problem."
"11","@SenThomTillis So you’re mad that he’s standing for values that he believes in. I see republican senators doing the… https://t.co/FZcIejWNfC"
"12","@CraigSw60447870 @Rodimus69 @NessaSuicide @CalltoActivism Do you even have proof of that? I mean I know the right w… https://t.co/xiq8sXN0y6"
"13","@Rodimus69 @NessaSuicide @CalltoActivism What is wrong with you people? We’ve cut taxes on the rich since Reagan to… https://t.co/bYKCVRiA7B"
"14","@RickyJa56396441 @CalltoActivism Why didn’t you ask this question anytime in the last 6 years?"
"15","@brad_polumbo Florida does have any laws. I always make this joke."
"16","@MichaelLee4NC @AnnePak4 You don’t care about any kids but your own. If you want everyone to go to a private school… https://t.co/rgmgnQHVkO"
"17","@MichaelLee4NC @AnnePak4 It’s totally about dismantling public education. You don’t give a rats ass about kids and… https://t.co/BKfCrgnrUr"
"18","@SpeakerMcCarthy We need to raise taxes on the wealthy. Why is that so hard to understand. You have to create reven… https://t.co/FOXN8QZsNf"
"19","@Ronbossjr @NCHouseDems No one is indoctrinating your
Kids. We don’t pay teachers well and expect excellence from t… https://t.co/DjR6VxKKEe"
"20","@benshapiro God is not real."
"21","@LynnTan14475430 @polkncgop @NCHouseDems Yes it is."
"22","@polkncgop @NCHouseDems That’s a flat out lie"
"23","@TheologeticsOrg God is not real."
"24","@DrFrankTurek God is not real."
"25","@meatandtofu @FiggyBiscuits @triciacotham Yes because I care about doing what’s right."
"26","@triciacotham You were a lobbyist for years advocating for charter schools. You’re being paid to defund our public schools."
"27","@tedcruz Dr.King was a socialist. That’s a good thing. Most would not know this because we’re not taught that in school."
"28","@MalibuSolo @TulsiGabbard Gods not real."
"29","@RepDanBishop What debt crisis? You’re just manufacturing shit."
"30","@JudiciaryGOP Doesn defining a woman question something that resonates with voters? I’m concerned for your mental health."
"31","@GoodPoliticGuy Socialist can make money. Elon doesn’t understand economic systems obviously."
"32","@JudiciaryGOP Sounds like GOP is unwilling to negotiate or compromise on anything."
"33","@SpeakerMcCarthy Dude you’re the one doing this. Not the president."
"34","@HawleyMO You’re a strange man. What kind insecurities are you hiding to be obsessed with what constitutes being a… https://t.co/fzPerhY0Is"
"35","@DrFrankTurek God is not real.  Hate the liars who use God to harm others for their own gain."
"36","@shellenberger They’re being paid by a Trump operative. They don’t really have any credibility as whistleblowers. P… https://t.co/LZZbbKlLiR"
"37","@JudiciaryGOP This is a stupid statement and makes the GOP look really stupid."
"38","@RandPaul Isn’t that what republicans do all the time ? Collude with corporations to take money from regular people."
"39","@WXcoasting @FiggyBiscuits @ThisIsMarlee @triciacotham That’s a great playlist!"
"40","@JudgeJeanine Look I can do
It too. Republicans has destroyed America!!!!! Let me scream a little louder for the people in the back."
"41","@SpeakerMcCarthy You also need to do this during budget season and not hold the whole country hostage because you w… https://t.co/BybRze9M9H"
"42","@SenateGOP @SenTedBuddNC He’s really nothing special."
"43","@WhatleyNCGOP @SenTedBuddNC He’s another conservative hack who will do nothing with his 6 years in office except ma… https://t.co/85i4AWdoBc"
"44","@glennbeck Why does Glen Beck look like to Colonel from KFC?"
"45","@EliLake James Comey is the reason Hillary lost in 2016."
"46","@Riley_Gaines_ @RepKatiePorter @piersmorgan @billmaher Isn’t it funny how conservatives turn every situation into s… https://t.co/XP3CXHpoXs"
"47","@FiggyBiscuits @triciacotham Lmao 🤣"
"48","@FiggyBiscuits @triciacotham Conservatives have no morals or principles."
"49","@crvx9t4tfw @JulieEiselt @triciacotham Private schools don’t provide better education just because it’s outside the… https://t.co/CIvLr1Qmm0"
"50","@crvx9t4tfw @JulieEiselt @triciacotham You mean your property taxes that you have to pay regardless goes to your lo… https://t.co/DerHyJqLfm"
"51","@benshapiro I don’t understand what straws you’re trying to grasp. What Ron is doing in Florida should make you feel scared and appalled."
"52","@HausPage @triciacotham Thomas sowell is another conservatives hack. Please read his books and realize he has bad ideas."
"53","@FiggyBiscuits @triciacotham I want a politician to advocate for what they campaigned on and got elected to represe… https://t.co/rM5MdFNGRL"
"54","@triciacotham You’re liar and you betrayed the voters you represent. Thanks for helping to ruin our state."
"55","@MattWalshBlog You’re Karen… you whine so much much every day. My god do you people play the victim so much."
"56","@laurenboebert Can you prove that?"
"57","@DeAngelisCorey He’s not wrong. Parents are too busy to teach their kids."
