"","text"
"1","@thehill Of course.

He just wouldn't be a GOP rep if he cared about seniors, vets, or the poor."
"2","@NabilahIslam By the time I heard about this, I had undergone numerous (mostly gyn) procedures under anesthesia.

I… https://t.co/uLiOkfnapE"
"3","@Dale_Chapman_NB @jdgilbys5 @LibertarianMama @piper4missouri My husband had an emergency.
2 trips to the small (civ… https://t.co/P5apqnha0y"
"4","@Dale_Chapman_NB @jdgilbys5 @LibertarianMama @piper4missouri I muted the other respondents in this thread, but I ha… https://t.co/UQQq7mymxl"
"5","@PinkNews Removing pronouns should make grammar lessons easier... https://t.co/6SevFn4mRp"
"6","@HelenKennedy Hypothetically, I'd end up checking every few days for weeks."
"7","@jdgilbys5 @LibertarianMama @Dale_Chapman_NB @piper4missouri Most Americans pay more for medical coverage, copays,… https://t.co/PChtIfz8dx"
"8","@Arriadna The Q Club can't stand for that, so they will absolutely push a default."
"9","@TheSWPrincess @myronjclifton It's scary how many Ivy League grads are white supremacists that support fascism."
"10","@Arriadna Right?

I was fine with it when it was ensuring employee safety, but this is ridiculous."
"11","@Stucasso @RonFilipkowski I guess my argument is more with the ""law and order"" crowd that are letting the Jan 6th s… https://t.co/rPRHhb2g0j"
"12","@AHaleIII JK - I don't care 

Bye!"
"13","@AHaleIII If all you need is Christ, why are you shopping?"
"14","@Arriadna Some products seem to be completely removed (in store and online) due to backlash by the various -phobes.

https://t.co/INYdqScMVL"
"15","@PrezLives2022 His wife alleged very abusive behavior from him, so I'm glad they may be a bit safer with him in pri… https://t.co/lirOlzJppZ"
"16","@Stucasso @RonFilipkowski I mean, he can say whatever verbal vomit he'd like without punishment, but IDK how anyone… https://t.co/aI5il6BPjI"
"17","#Target🎯 caved to the bigots, but the bigots will continue a boycott.

Target🎯 caved to bigots, so many in LGBTQ+ c… https://t.co/ngKnmC6HYZ"
"18","@RonFilipkowski IOW: ""I forgive them for punishing me for my crimes.""

Okie, dokie... https://t.co/iofIJPwAFO"
"19","@DrJenGunter ""The Mist""

That ending... OOOF."
"20","@JL_Olmsted Linked to Proud boys, posts anti-Semitic memes, and admits she doesn't read/isn't a ""book person.""

SHE… https://t.co/XwxOiNKeVb"
"21","The GOP are really terrified of women and minorities.

Demographics change, but Grothman would be happier if the ju… https://t.co/YBEJI4ja3w"
"22","@Dale_Chapman_NB @LibertarianMama @piper4missouri Exactly!"
"23","@NestaMAZING Right?

What is wrong with any of these?!

Kudos to the parents for being clear about their boundaries."
"24","@theliamnissan His wife alleged abuse towards her and their children.

Elmer can rot in prison. https://t.co/k72o1cLBuR"
"25","@thehill I agree with that.

Feinstein would prob agree with that.

Unfortunately, the GOP won't seat another Dem o… https://t.co/VM8eskcCN4"
"26","@CBSNews TIL there is no minimum age of criminal responsibility in WV.

What the actual hell..."
"27","@Dale_Chapman_NB @LibertarianMama @piper4missouri Or die in the elements, or die without medical treatment..."
"28","@LibertarianMama @Dale_Chapman_NB @piper4missouri And Canada has free IV chemo, and we do not."
"29","@piper4missouri My grandma had me start with a long chain.

It's a good way to get the feel of the stitches."
"30","@Dale_Chapman_NB @LibertarianMama @piper4missouri As America goes, we have it pretty good.

We have Tricare, the mi… https://t.co/Lg9oVaX7Lo"
"31","@piper4missouri I crochet."
"32","@LibertarianMama @Dale_Chapman_NB @piper4missouri You have to be able to afford food and shelter before you have an… https://t.co/h2DRP5K4wB"
"33","@LibertarianMama @Dale_Chapman_NB @piper4missouri Mmmkay...

Glad you're rich enough for that..m"
"34","@LibertarianMama @Dale_Chapman_NB @piper4missouri I'll just continue using my socialized medicine here in the US.… https://t.co/ebgqDaALjy"
"35","@LibertarianMama @Dale_Chapman_NB @piper4missouri Wow... you certainly know everyone who has been an exception to a… https://t.co/IlUovIuv0U"
"36","@LibertarianMama @Dale_Chapman_NB @piper4missouri I'd love too, but as many of you fail to realize... emigration is… https://t.co/ISXiFgd9Qd"
"37","@LibertarianMama @Dale_Chapman_NB @piper4missouri You know Canada has their own FDA.
It's the CFIA working with the… https://t.co/fdo4CAdmTh"
"38","@LibertarianMama @Dale_Chapman_NB @piper4missouri If you actually think that it's cheaper for most expensive medica… https://t.co/O5kqjOYp8y"
"39","@LibertarianMama @Dale_Chapman_NB @piper4missouri Sure it was.

Yes, I've paid the no- insurance price when I could… https://t.co/tsE6a6sSIf"
"40","@LibertarianMama @Dale_Chapman_NB @piper4missouri Yet, you'll support the health system killing them, or them dying… https://t.co/dhTWUAeOCI"
"41","@LibertarianMama @Dale_Chapman_NB @piper4missouri Our prescriptions are twice that...

This is just one.

Again, st… https://t.co/l5ayHZT1Mh"
"42","@LibertarianMama @Dale_Chapman_NB @piper4missouri I'm assuming that was the 70s.

My mother has hers in 2013. $27k,… https://t.co/egT9coapkX"
"43","@LibertarianMama @Dale_Chapman_NB @piper4missouri We're ok with killing them off slowly and without mercy.

Cry me… https://t.co/qLmAaJnk9A"
"44","@LibertarianMama @Dale_Chapman_NB @piper4missouri Also, cancer drugs in Canada given within a hospital setting (IV… https://t.co/uOkpo7XkHt"
"45","@LibertarianMama @Dale_Chapman_NB @piper4missouri Do you need to pay for radiation?
PET scans ($27K in the US)?

So oblivious..."
"46","@LibertarianMama @Dale_Chapman_NB @piper4missouri I'm sure they're upset about that..."
"47","@LibertarianMama @Dale_Chapman_NB @piper4missouri Can't get that *treated* in ERs..."
"48","@LibertarianMama @Dale_Chapman_NB @piper4missouri You know Ireland has ERs too...

We've been to there (Northern Ir… https://t.co/583DWvtNZ9"
"49","@LibertarianMama @Dale_Chapman_NB @piper4missouri Yes, we do.

We let them die if they can't ration their insulin f… https://t.co/7waEWzUvSo"
"50","@LibertarianMama @Dale_Chapman_NB @piper4missouri You understand that emergency rooms have to treat you until you'r… https://t.co/uuvmGNsLRa"
"51","@LibertarianMama @Dale_Chapman_NB @piper4missouri It's been debunked numerous times by fact checkers and people tha… https://t.co/5IFoNcWz1g"
"52","@valaly_3 @thehill You know the GOP is in power in the House, right?"
"53","@PamM43181472 @__TEAM_USA Lucky duck. 🦆

This is where we were stationed when my husband retired. My youngest is at… https://t.co/Y2Rq5A2Ffh"
"54","$20.24

Who would EVER donate such a hinky amount?!

Nope.

#DeSaster https://t.co/yGh4eEhu27 https://t.co/gUyIRXuL2w"
